Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Max_C_Depth_m,Min_length_Tag_cm,Max_length_Tag_cm,Min_Days_Tracked,Max_Days_Tracked,Min_Hours_Recorded,Max_Hours_Recorded,Notes,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Hart_2013,Reptilia,2,PIT + SA + Mobile,PIT_SA_Mobile,Both_Mobile,PIT_Satellite,Mobile,Conservation Measures,Marine protected areas and reserves,Multiple,3,Saltwater,Not Reported,NA,95,114.4,45,354,Not Reported,NA,,NA,Medium (28.5-120cm),Long Term (>170d),NA
Hart_2013,Reptilia,2,PIT + SA + Mobile,PIT_SA_Mobile,Both_Mobile,PIT_Satellite,Mobile,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Multiple,3,Saltwater,Not Reported,NA,95,114.4,45,354,Not Reported,NA,,NA,Medium (28.5-120cm),Long Term (>170d),NA
Hart_2013,Reptilia,2,PIT + SA + Mobile,PIT_SA_Mobile,Both_Mobile,PIT_Satellite,Mobile,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,Not Reported,NA,95,114.4,45,354,Not Reported,NA,,NA,Medium (28.5-120cm),Long Term (>170d),NA
Hart_2016,Reptilia,5,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Conservation Measures,Marine protected areas and reserves,Single,2,Saltwater,Not Reported,NA,82.4,98,Not Reported,NA,Not Reported,NA,,NA,Medium (28.5-120cm),NA,NA
Hart_2016,Reptilia,5,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,NA,82.4,98,Not Reported,NA,Not Reported,NA,,NA,Medium (28.5-120cm),NA,NA
Hart_2016,Reptilia,5,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Single,2,Saltwater,Not Reported,NA,82.4,98,Not Reported,NA,Not Reported,NA,,NA,Medium (28.5-120cm),NA,NA
Hawkes_2020,Chondrichthyes,1,AC + Mobile,Acoustic_Mobile,Receiver_Mobile,Acoustic,Mobile,Methodological,Integrated approach,Single,2,Saltwater,1,90,40,80,0.09,0.192,2.15,4.6,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Hawkes_2020,Chondrichthyes,1,AC + Mobile,Acoustic_Mobile,Receiver_Mobile,Acoustic,Mobile,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,1,90,40,80,0.09,0.192,2.15,4.6,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Hawkes_2020,Chondrichthyes,1,AC + Mobile,Acoustic_Mobile,Receiver_Mobile,Acoustic,Mobile,Other Drivers of Movement and Behavior,Environmental factors,Single,2,Saltwater,1,90,40,80,0.09,0.192,2.15,4.6,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Hawkes_2020,Chondrichthyes,1,AC + Mobile,Acoustic_Mobile,Receiver_Mobile,Acoustic,Mobile,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Single,2,Saltwater,1,90,40,80,0.09,0.192,2.15,4.6,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Heithaus_2002,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,0,6,324,398,Not Reported,NA,2.5,11,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
Heithaus_2002,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,0,6,324,398,Not Reported,NA,2.5,11,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
Heithaus_2002,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Methodological,Tag and video accuracy and precision,Multiple,3,Saltwater,0,6,324,398,Not Reported,NA,2.5,11,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
Holsman_2006,Decapoda,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,NA,4,13,Not Reported,NA,Not Reported,NA,,NA,Small (<28.5cm),NA,NA
